"Sensor Type","Location/Application","Main Function"
"3-Axis Gyroscope","IMU (Inertial Measurement Unit)","Measures lean angle, pitch, and yaw rates"
"3-Axis Accelerometer","IMU (Inertial Measurement Unit)","Measures braking, acceleration, and lateral G-forces"
"GPS / Lap Transponder","Chassis / Tail","Tracks circuit position, lap times, and sector splits"
"Front Suspension Potentiometer","Front Forks","Measures front fork travel, compression, and rebound speed"
"Rear Suspension Potentiometer","Rear Shock Absorber","Measures rear shock travel and linkage movement"
"Front Brake Pressure Sensor","Front Brake Master Cylinder","Measures hydraulic pressure applied to front carbon discs"
"Rear Brake Pressure Sensor","Rear Brake Master Cylinder/Caliper","Measures hydraulic pressure applied to the rear disc"
"Front Brake Temperature Sensor","Front Brake Caliper/Disc","Infrared sensor monitoring carbon disc surface temperature"
"Front Wheel Speed Sensor","Front Wheel Brake Disc/Hub","Measures front wheel rotation speed for ABS and traction control"
"Rear Wheel Speed Sensor","Rear Wheel Brake Disc/Hub","Measures rear wheel rotation speed for traction control and wheelspin"
"Throttle Position Sensor (TPS)","Handlebars / Throttle Body","Measures the rider's input on the twistgrip (Ride-by-Wire)"
"Engine RPM Sensor","Crankshaft / Camshaft","Measures engine rotational speed"
"Gear Position Sensor","Gearbox / Selector Drum","Identifies the currently engaged gear index (1st to 6th)"
"Gear Shift Load Cell","Shift Lever","Detects foot pressure on the shifter to trigger the quickshifter"
"Clutch Lever Position Sensor","Clutch Perch","Monitors clutch engagement during race starts"
"Front Tyre Pressure Sensor (TPMS)","Front Wheel Valve","Monitors internal air pressure of the front Michelin tyre"
"Rear Tyre Pressure Sensor (TPMS)","Rear Wheel Wheel Valve","Monitors internal air pressure of the rear Michelin tyre"
"Front Tyre Temperature Sensor (TPMS)","Front Wheel Valve","Monitors internal air temperature of the front tyre"
"Rear Tyre Temperature Sensor (TPMS)","Rear Wheel Valve","Monitors internal air temperature of the rear tyre"
"Infrared Tyre Surface Temperature Sensor (Left)","Rear Swingarm / Front Fender","Measures tyre tread temperature on the left shoulder"
"Infrared Tyre Surface Temperature Sensor (Center)","Rear Swingarm / Front Fender","Measures tyre tread temperature on the center strip"
"Infrared Tyre Surface Temperature Sensor (Right)","Rear Swingarm / Front Fender","Measures tyre tread temperature on the right shoulder"
"Lambda (O2) Sensor","Exhaust Pipes","Measures oxygen levels in exhaust gas to tune air-fuel ratio"
"Exhaust Gas Temperature Sensor (EGT)","Exhaust Headers","Monitors combustion efficiency and engine safety per cylinder"
"Engine Coolant Temperature Sensor (ECT)","Cylinder Block / Radiator","Measures engine water temperature"
"Engine Oil Temperature Sensor","Oil Gallery / Sump","Measures engine lubricant temperature"
"Engine Oil Pressure Sensor","Oil Pump / Gallery","Monitors oil system pressure to prevent engine failure"
"Airbox Intake Air Temperature Sensor (IAT)","Airbox","Measures temperature of the incoming air for fuel mapping"
"Airbox Air Pressure Sensor","Airbox","Measures ram-air pressure inside the intake system"
"Fuel Pressure Sensor","Fuel Rail","Monitors fuel injection system pressure"
"Fuel Flow Meter","Fuel Line","Measures fuel consumption rate (regulated by FIM)"
"Knock Sensor","Cylinder Head","Detects engine detonation or knock to prevent damage"
"Ride Height System Sensor","Rear Shock / Swingarm","Measures the compression state of the mechanical holeshot device"
"Pit Lane Speed Limiter Switch","Handlebars","Detects activation of the pit lane speed cap"
"Lean Angle Indicator Sensor","Chassis","Secondary verification sensor for the IMU attitude matrix"
"Ambient Barometric Pressure Sensor","ECU / Dashboard","Measures atmospheric pressure to adjust base engine mapping"
